"export-plots data (NetLogo 6.4.0)"
"City Gas Consumption Simulation.nlogo"
"03/08/2025 14:34:52:392 +0530"

"MODEL SETTINGS"



"""Total Gas Consumption"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","594000","true","""total""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""total""","true","0","1","123","241"

"""total"""
"x","y","color","pen down?"
"0","0","123","true"
"1","455115.6977940683","123","true"
"2","540240.410045043","123","true"
"3","1000","123","true"
"4","539746.9073639886","123","true"
"5","1000","123","true"
"6","509918.2760710993","123","true"
"7","1000","123","true"
"8","480204.5425472141","123","true"
"9","1000","123","true"
"10","449819.5437435244","123","true"
"11","1000","123","true"
"12","400000","123","true"
"13","1000","123","true"
"14","400000","123","true"
"15","1000","123","true"
"16","400000","123","true"
"17","1000","123","true"
"18","419681.7411916864","123","true"
"19","1000","123","true"
"20","480298.8889806149","123","true"
"21","1000","123","true"
"22","540050.4715169023","123","true"
"23","1000","123","true"
"24","540139.5231120592","123","true"
"25","1000","123","true"
"26","539495.7707124081","123","true"
"27","1000","123","true"
"28","540194.3550245557","123","true"
"29","1000","123","true"
"30","510054.37852300494","123","true"
"31","1000","123","true"
"32","479885.3577039678","123","true"
"33","1000","123","true"
"34","450009.5443661198","123","true"
"35","1000","123","true"
"36","400000","123","true"
"37","1000","123","true"
"38","400000","123","true"
"39","1000","123","true"
"40","400000","123","true"
"41","1000","123","true"
"42","420225.8720484547","123","true"
"43","1000","123","true"
"44","479872.1371239278","123","true"
"45","1000","123","true"
"46","540031.9452103021","123","true"
"47","1000","123","true"
"48","540091.0855869891","123","true"
"49","1000","123","true"
"50","539957.7431154603","123","true"
"51","1000","123","true"
"52","539853.6728282996","123","true"
"53","1000","123","true"
"54","510088.64245825505","123","true"
"55","1000","123","true"
"56","480281.7963249231","123","true"
"57","1000","123","true"
"58","449756.6474391937","123","true"
"59","1000","123","true"
"60","400000","123","true"
"61","1000","123","true"
"62","400000","123","true"
"63","1000","123","true"
"64","400000","123","true"
"65","1000","123","true"
"66","420047.8838781367","123","true"
"67","1000","123","true"
"68","480152.780201564","123","true"
"69","1000","123","true"
"70","540152.9044653293","123","true"
"71","1000","123","true"
"72","540259.5126538478","123","true"
"73","1000","123","true"
"74","539838.4251515518","123","true"
"75","1000","123","true"
"76","540236.7616597428","123","true"
"77","1000","123","true"
"78","510299.9345207855","123","true"
"79","1000","123","true"
"80","480189.0275761613","123","true"
"81","1000","123","true"
"82","449731.4150218259","123","true"
"83","1000","123","true"
"84","400000","123","true"
"85","1000","123","true"
"86","400000","123","true"
"87","1000","123","true"
"88","400000","123","true"
"89","1000","123","true"
"90","419823.89304358145","123","true"
"91","1000","123","true"
"92","480120.19454627135","123","true"
"93","1000","123","true"
"94","539882.76599005","123","true"
"95","1000","123","true"
"96","539981.568156305","123","true"
"97","1000","123","true"
"98","540264.5427697975","123","true"
"99","1000","123","true"
"100","539875.4572964574","123","true"
"101","1000","123","true"
"102","509815.8404165397","123","true"
"103","1000","123","true"
"104","480162.80150593247","123","true"
"105","1000","123","true"
"106","449761.9318864056","123","true"
"107","1000","123","true"
"108","400000","123","true"
"109","1000","123","true"
"110","400000","123","true"
"111","1000","123","true"
"112","400000","123","true"
"113","1000","123","true"
"114","420029.99358104746","123","true"
"115","1000","123","true"
"116","480112.20909588446","123","true"
"117","1000","123","true"
"118","539874.400621103","123","true"
"119","1000","123","true"
"120","539736.6893228346","123","true"
"121","1000","123","true"
"122","540045.309672282","123","true"
"123","1000","123","true"
"124","539757.7144168754","123","true"
"125","1000","123","true"
"126","510466.6005971682","123","true"
"127","1001","123","true"
"128","480595.8513213798","123","true"
"129","1001","123","true"
"130","450683.2696895136","123","true"
"131","1001","123","true"
"132","400400","123","true"
"133","1001","123","true"
"134","400400","123","true"
"135","1001","123","true"
"136","400400","123","true"
"137","1001","123","true"
"138","420682.0968033163","123","true"
"139","1001","123","true"
"140","480674.5926967904","123","true"
"141","1001","123","true"
"142","540615.0160679404","123","true"
"143","1001","123","true"
"144","540618.8479686667","123","true"
"145","1001","123","true"
"146","540454.7042588273","123","true"
"147","1001","123","true"
"148","540370.6065620065","123","true"
"149","1001","123","true"
"150","510535.8941674151","123","true"
"151","1001","123","true"
"152","480538.06206711364","123","true"
"153","1001","123","true"
"154","450372.14340400475","123","true"
"155","1001","123","true"
"156","400400","123","true"
"157","1001","123","true"
"158","400400","123","true"
"159","1001","123","true"
"160","400400","123","true"
"161","1001","123","true"
"162","420153.4233892135","123","true"
"163","1001","123","true"
"164","480443.3966726557","123","true"
"165","1001","123","true"
"166","540521.0868135835","123","true"
"167","1001","123","true"
"168","540636.6000721055","123","true"
"169","1001","123","true"
"170","540536.3009927018","123","true"
"171","1001","123","true"
"172","540509.2660100181","123","true"
"173","1001","123","true"
"174","510419.99916905875","123","true"
"175","1001","123","true"
"176","481129.5511245119","123","true"
"177","1001","123","true"
"178","450445.07700997405","123","true"
"179","1001","123","true"
"180","400400","123","true"
"181","1001","123","true"
"182","400400","123","true"
"183","1001","123","true"
"184","400400","123","true"
"185","1001","123","true"
"186","420384.1234716432","123","true"
"187","1001","123","true"
"188","480547.23751140415","123","true"
"189","1001","123","true"
"190","540407.8340955636","123","true"
"191","1001","123","true"
"192","540644.3309961128","123","true"
"193","1001","123","true"
"194","540469.9154648554","123","true"
"195","1001","123","true"
"196","540349.6969081754","123","true"
"197","1001","123","true"
"198","510805.18504954135","123","true"
"199","1001","123","true"
"200","480959.8215117981","123","true"
"201","1002","123","true"
"202","450983.74469930993","123","true"
"203","1002","123","true"
"204","400800","123","true"
"205","1002","123","true"
"206","400800","123","true"
"207","1002","123","true"
"208","400800","123","true"
"209","1002","123","true"
"210","420554.53152161476","123","true"
"211","1002","123","true"
"212","480981.86203267844","123","true"
"213","1002","123","true"
"214","541090.4751279753","123","true"
"215","1002","123","true"
"216","541059.3214321783","123","true"
"217","1002","123","true"
"218","540919.6588336646","123","true"
"219","1002","123","true"
"220","541181.8189033752","123","true"
"221","1002","123","true"
"222","510854.823596028","123","true"
"223","1002","123","true"
"224","481219.4561327593","123","true"
"225","1002","123","true"
"226","451084.33748269017","123","true"
"227","1002","123","true"
"228","400800","123","true"
"229","1002","123","true"
"230","400800","123","true"
"231","1002","123","true"
"232","400800","123","true"
"233","1002","123","true"
"234","420800.24734488555","123","true"
"235","1002","123","true"
"236","480869.83342270955","123","true"
"237","1002","123","true"
"238","540797.0850259898","123","true"
"239","1002","123","true"
"240","541322.7756599014","123","true"
"241","1002","123","true"
"""Population"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","1100","true","""people""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""people""","true","0","1","63","241"

"""people"""
"x","y","color","pen down?"
"0","0","63","true"
"1","1000","63","true"
"2","1000","63","true"
"3","1000","63","true"
"4","1000","63","true"
"5","1000","63","true"
"6","1000","63","true"
"7","1000","63","true"
"8","1000","63","true"
"9","1000","63","true"
"10","1000","63","true"
"11","1000","63","true"
"12","1000","63","true"
"13","1000","63","true"
"14","1000","63","true"
"15","1000","63","true"
"16","1000","63","true"
"17","1000","63","true"
"18","1000","63","true"
"19","1000","63","true"
"20","1000","63","true"
"21","1000","63","true"
"22","1000","63","true"
"23","1000","63","true"
"24","1000","63","true"
"25","1000","63","true"
"26","1000","63","true"
"27","1000","63","true"
"28","1000","63","true"
"29","1000","63","true"
"30","1000","63","true"
"31","1000","63","true"
"32","1000","63","true"
"33","1000","63","true"
"34","1000","63","true"
"35","1000","63","true"
"36","1000","63","true"
"37","1000","63","true"
"38","1000","63","true"
"39","1000","63","true"
"40","1000","63","true"
"41","1000","63","true"
"42","1000","63","true"
"43","1000","63","true"
"44","1000","63","true"
